Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
367-36-6147,A,Yangon,Member,Male,Food and beverages,28.06,2,2.81,58.93,03/08/2019,15:59,Credit card,56.12,2.81,7.5
736-82-2638,A,Yangon,Member,Female,Home and lifestyle,45.38,5,11.35,238.25,01/10/2019,10:29,Credit card,226.9,11.35,9.6
548-79-5956,A,Yangon,Normal,Male,Food and beverages,53.45,6,16.04,336.74,02/17/2019,14:10,Ewallet,320.7,16.04,9.3
666-29-5462,C,Mandalay,Normal,Male,Fashion accessories,83.11,2,8.31,174.53,01/15/2019,11:47,Credit card,166.22,8.31,4.8
533-45-1722,B,Naypyitaw,Normal,Male,Food and beverages,32.8,5,8.2,172.2,01/07/2019,11:40,Ewallet,164.0,8.2,5.5
807-29-9938,A,Yangon,Normal,Male,Home and lifestyle,52.27,8,20.91,439.07,01/02/2019,11:04,Ewallet,418.16,20.91,6.6
798-41-2684,A,Yangon,Normal,Male,Home and lifestyle,34.5,1,1.73,36.23,01/06/2019,15:13,Ewallet,34.5,1.73,9.4
854-52-7745,B,Naypyitaw,Member,Female,Food and beverages,58.69,3,8.8,184.87,02/22/2019,10:11,Ewallet,176.07,8.8,8.9
936-68-6728,C,Mandalay,Normal,Male,Fashion accessories,38.6,2,3.86,81.06,03/02/2019,13:12,Ewallet,77.2,3.86,4.2
756-75-7548,B,Naypyitaw,Member,Male,Electronic accessories,46.88,4,9.38,196.9,01/09/2019,14:22,Credit card,187.52,9.38,5.7
710-65-6663,C,Mandalay,Member,Female,Food and beverages,14.82,5,3.71,77.81,02/03/2019,10:06,Ewallet,74.1,3.71,9.8
925-78-4228,C,Mandalay,Member,Female,Home and lifestyle,25.88,10,12.94,271.74,02/25/2019,10:33,Cash,258.8,12.94,4.3
782-62-6344,B,Naypyitaw,Normal,Male,Sports and travel,56.44,6,16.93,355.57,02/08/2019,18:19,Credit card,338.64,16.93,4.7
408-61-9977,B,Naypyitaw,Member,Female,Fashion accessories,61.19,7,21.42,449.75,01/23/2019,19:36,Ewallet,428.33,21.42,6.3
318-75-8752,A,Yangon,Member,Female,Home and lifestyle,56.29,10,28.14,591.04,02/26/2019,17:43,Cash,562.9,28.14,5.9
330-35-3414,C,Mandalay,Normal,Male,Electronic accessories,41.82,10,20.91,439.11,01/31/2019,20:19,Credit card,418.2,20.91,8.9
813-59-9099,A,Yangon,Normal,Male,Health and beauty,46.43,2,4.64,97.5,03/15/2019,13:45,Credit card,92.86,4.64,9.3
151-81-5082,B,Naypyitaw,Member,Male,Electronic accessories,32.51,7,11.38,238.95,03/31/2019,18:29,Ewallet,227.57,11.38,8.8
836-74-7991,A,Yangon,Normal,Male,Sports and travel,79.15,9,35.62,747.97,02/26/2019,19:52,Credit card,712.35,35.62,7.6
741-40-5499,C,Mandalay,Normal,Male,Sports and travel,62.62,5,15.66,328.76,02/05/2019,18:31,Cash,313.1,15.66,9.0
492-98-3503,B,Naypyitaw,Member,Female,Health and beauty,35.58,6,10.67,224.15,01/18/2019,12:14,Cash,213.48,10.67,7.2
888-84-1320,C,Mandalay,Normal,Male,Electronic accessories,58.41,6,17.52,367.98,01/27/2019,16:24,Cash,350.46,17.52,6.5
852-79-4613,C,Mandalay,Member,Female,Sports and travel,62.74,5,15.69,329.39,02/23/2019,18:47,Cash,313.7,15.69,9.1
578-26-9751,B,Naypyitaw,Normal,Female,Electronic accessories,46.11,1,2.31,48.42,02/21/2019,12:53,Cash,46.11,2.31,8.0
435-37-8449,A,Yangon,Member,Male,Sports and travel,19.5,7,6.83,143.33,01/07/2019,14:24,Credit card,136.5,6.83,6.8
329-93-2124,B,Naypyitaw,Normal,Female,Home and lifestyle,72.95,5,18.24,382.99,03/11/2019,10:22,Cash,364.75,18.24,6.8
677-37-8619,C,Mandalay,Member,Male,Health and beauty,59.71,1,2.99,62.7,03/02/2019,20:07,Ewallet,59.71,2.99,5.4
692-13-6111,C,Mandalay,Member,Female,Home and lifestyle,82.35,10,41.18,864.68,01/21/2019,14:06,Credit card,823.5,41.18,8.3
813-48-2983,C,Mandalay,Normal,Female,Fashion accessories,14.08,4,2.82,59.14,03/22/2019,13:06,Credit card,56.32,2.82,8.1
601-23-8102,C,Mandalay,Normal,Female,Health and beauty,15.52,6,4.66,97.78,01/02/2019,16:52,Credit card,93.12,4.66,7.9
651-71-8616,B,Naypyitaw,Member,Female,Fashion accessories,66.7,3,10.01,210.11,02/04/2019,19:51,Cash,200.1,10.01,9.8
784-58-6511,B,Naypyitaw,Normal,Female,Fashion accessories,30.31,2,3.03,63.65,03/01/2019,19:39,Ewallet,60.62,3.03,6.7
382-81-1166,A,Yangon,Member,Female,Sports and travel,34.84,4,6.97,146.33,02/05/2019,19:44,Cash,139.36,6.97,5.6
828-72-8342,C,Mandalay,Member,Male,Electronic accessories,54.09,7,18.93,397.56,03/30/2019,17:41,Credit card,378.63,18.93,8.5
452-64-6419,A,Yangon,Member,Female,Health and beauty,34.5,4,6.9,144.9,03/02/2019,18:33,Cash,138.0,6.9,7.5
648-98-4033,B,Naypyitaw,Normal,Female,Fashion accessories,26.44,5,6.61,138.81,02/10/2019,11:47,Cash,132.2,6.61,8.3
298-47-4727,A,Yangon,Normal,Female,Electronic accessories,93.13,10,46.56,977.86,02/06/2019,11:53,Credit card,931.3,46.56,7.1
814-26-9042,B,Naypyitaw,Member,Female,Electronic accessories,25.13,9,11.31,237.48,01/07/2019,18:18,Credit card,226.17,11.31,4.3
941-18-7565,A,Yangon,Normal,Female,Health and beauty,37.26,8,14.9,312.98,02/02/2019,17:07,Cash,298.08,14.9,9.8
882-63-4697,B,Naypyitaw,Member,Male,Health and beauty,85.93,10,42.97,902.27,02/01/2019,11:35,Ewallet,859.3,42.97,4.5
857-22-4404,C,Mandalay,Normal,Female,Sports and travel,79.3,10,39.65,832.65,03/21/2019,10:39,Cash,793.0,39.65,5.8
805-86-8699,C,Mandalay,Member,Female,Electronic accessories,28.91,4,5.78,121.42,01/01/2019,16:28,Ewallet,115.64,5.78,4.5
370-90-4241,B,Naypyitaw,Normal,Male,Health and beauty,66.24,5,16.56,347.76,03/29/2019,13:59,Credit card,331.2,16.56,6.7
944-82-5728,B,Naypyitaw,Member,Male,Health and beauty,15.71,3,2.36,49.49,02/09/2019,19:47,Cash,47.13,2.36,5.0
712-15-8078,B,Naypyitaw,Normal,Female,Health and beauty,85.41,7,29.89,627.76,03/05/2019,17:05,Credit card,597.87,29.89,7.0
883-96-5415,C,Mandalay,Member,Female,Home and lifestyle,82.22,4,16.44,345.32,03/15/2019,19:01,Ewallet,328.88,16.44,9.0
933-72-2494,C,Mandalay,Normal,Male,Health and beauty,83.29,8,33.32,699.64,03/16/2019,16:40,Credit card,666.32,33.32,5.1
778-61-1601,B,Naypyitaw,Normal,Female,Home and lifestyle,74.61,2,7.46,156.68,03/30/2019,17:18,Cash,149.22,7.46,6.0
990-79-8569,B,Naypyitaw,Normal,Female,Health and beauty,87.61,2,8.76,183.98,03/07/2019,10:42,Cash,175.22,8.76,6.4
234-46-8178,B,Naypyitaw,Normal,Male,Health and beauty,60.03,8,24.01,504.25,01/27/2019,14:35,Credit card,480.24,24.01,8.6
665-62-2527,C,Mandalay,Member,Male,Sports and travel,65.95,10,32.98,692.48,02/09/2019,18:00,Credit card,659.5,32.98,8.3
954-71-8736,A,Yangon,Member,Female,Health and beauty,49.87,3,7.48,157.09,03/07/2019,14:26,Credit card,149.61,7.48,8.3
908-63-6568,A,Yangon,Normal,Male,Sports and travel,45.58,10,22.79,478.59,01/09/2019,14:49,Ewallet,455.8,22.79,9.3
252-67-9824,C,Mandalay,Normal,Male,Home and lifestyle,73.14,5,18.29,383.99,03/26/2019,17:55,Credit card,365.7,18.29,7.5
339-62-1715,B,Naypyitaw,Normal,Female,Home and lifestyle,75.48,6,22.64,475.52,01/31/2019,19:24,Cash,452.88,22.64,9.9
990-22-8213,B,Naypyitaw,Normal,Female,Fashion accessories,47.63,3,7.14,150.03,03/06/2019,19:21,Cash,142.89,7.14,4.2
900-43-6546,A,Yangon,Member,Female,Food and beverages,27.55,3,4.13,86.78,01/20/2019,11:30,Credit card,82.65,4.13,7.9
732-18-4846,C,Mandalay,Member,Female,Fashion accessories,38.4,9,17.28,362.88,03/04/2019,18:02,Cash,345.6,17.28,5.9
270-98-5906,C,Mandalay,Member,Female,Fashion accessories,42.72,2,4.27,89.71,03/23/2019,11:28,Credit card,85.44,4.27,4.6
798-33-3785,A,Yangon,Member,Female,Health and beauty,39.99,6,12.0,251.94,03/09/2019,16:36,Cash,239.94,12.0,4.9
782-11-8622,A,Yangon,Member,Female,Health and beauty,21.45,10,10.73,225.23,02/02/2019,17:16,Cash,214.5,10.73,6.8
965-48-4263,B,Naypyitaw,Member,Male,Fashion accessories,87.01,6,26.1,548.16,02/24/2019,14:29,Cash,522.06,26.1,5.8
949-94-7484,B,Naypyitaw,Member,Male,Sports and travel,35.13,10,17.57,368.87,03/31/2019,14:01,Cash,351.3,17.57,5.8
356-96-3240,B,Naypyitaw,Normal,Male,Health and beauty,58.57,4,11.71,245.99,03/23/2019,13:39,Cash,234.28,11.71,6.1
865-63-3877,C,Mandalay,Normal,Male,Health and beauty,56.37,1,2.82,59.19,01/12/2019,14:20,Cash,56.37,2.82,8.4
217-69-2233,A,Yangon,Normal,Female,Electronic accessories,88.12,5,22.03,462.63,02/07/2019,15:51,Ewallet,440.6,22.03,9.7
866-96-5295,A,Yangon,Normal,Female,Electronic accessories,16.11,7,5.64,118.41,02/28/2019,15:43,Ewallet,112.77,5.64,7.2
724-38-2035,C,Mandalay,Member,Female,Sports and travel,43.0,4,8.6,180.6,03/13/2019,15:58,Credit card,172.0,8.6,7.7
340-78-3222,C,Mandalay,Normal,Female,Sports and travel,13.17,3,1.98,41.49,03/05/2019,11:06,Ewallet,39.51,1.98,4.2
386-14-7070,B,Naypyitaw,Normal,Female,Sports and travel,71.98,3,10.8,226.74,03/04/2019,19:26,Credit card,215.94,10.8,7.9
507-45-4109,A,Yangon,Member,Female,Sports and travel,78.66,2,7.87,165.19,03/24/2019,15:03,Cash,157.32,7.87,6.2
905-82-4362,A,Yangon,Member,Male,Sports and travel,77.98,10,38.99,818.79,02/12/2019,13:08,Credit card,779.8,38.99,4.3
979-28-3129,A,Yangon,Member,Male,Food and beverages,47.59,6,14.28,299.82,03/18/2019,10:17,Ewallet,285.54,14.28,8.7
116-32-5347,C,Mandalay,Member,Male,Home and lifestyle,21.62,1,1.08,22.7,01/31/2019,19:20,Credit card,21.62,1.08,6.1
562-74-4629,A,Yangon,Member,Female,Electronic accessories,53.1,2,5.31,111.51,03/07/2019,19:06,Credit card,106.2,5.31,8.7
210-72-8267,C,Mandalay,Normal,Female,Health and beauty,14.87,1,0.74,15.61,02/21/2019,16:43,Credit card,14.87,0.74,6.9
711-77-5831,A,Yangon,Member,Female,Health and beauty,32.0,3,4.8,100.8,03/12/2019,15:24,Ewallet,96.0,4.8,7.8
562-39-7779,B,Naypyitaw,Member,Female,Food and beverages,51.9,2,5.19,108.99,03/12/2019,13:27,Credit card,103.8,5.19,7.9
803-70-2099,B,Naypyitaw,Normal,Female,Sports and travel,31.88,2,3.19,66.95,02/02/2019,15:09,Credit card,63.76,3.19,5.9
437-95-3002,A,Yangon,Normal,Male,Health and beauty,74.94,6,22.48,472.12,03/17/2019,18:35,Ewallet,449.64,22.48,7.3
772-71-4674,B,Naypyitaw,Member,Female,Home and lifestyle,34.81,10,17.41,365.51,03/06/2019,13:09,Cash,348.1,17.41,4.6
791-92-1430,A,Yangon,Member,Female,Home and lifestyle,28.51,10,14.26,299.36,03/13/2019,19:39,Cash,285.1,14.26,6.6
285-28-7566,C,Mandalay,Member,Female,Fashion accessories,64.22,5,16.06,337.16,02/13/2019,15:00,Ewallet,321.1,16.06,5.9
419-51-2391,A,Yangon,Member,Male,Electronic accessories,32.21,9,14.49,304.38,02/13/2019,12:23,Credit card,289.89,14.49,6.5
524-44-4531,A,Yangon,Member,Male,Electronic accessories,36.77,2,3.68,77.22,03/04/2019,19:28,Credit card,73.54,3.68,8.0
146-38-7475,C,Mandalay,Normal,Female,Health and beauty,64.26,5,16.07,337.37,03/09/2019,20:19,Ewallet,321.3,16.07,7.6
107-73-8055,C,Mandalay,Member,Male,Health and beauty,71.39,4,14.28,299.84,02/07/2019,15:07,Cash,285.56,14.28,8.6
859-15-8147,A,Yangon,Member,Female,Electronic accessories,81.67,9,36.75,771.78,01/10/2019,16:55,Credit card,735.03,36.75,8.8
514-12-6321,A,Yangon,Normal,Male,Sports and travel,50.14,7,17.55,368.53,02/23/2019,14:07,Credit card,350.98,17.55,8.3
180-60-6083,A,Yangon,Normal,Female,Food and beverages,51.45,7,18.01,378.16,03/17/2019,16:33,Ewallet,360.15,18.01,5.5
894-54-6752,C,Mandalay,Normal,Male,Home and lifestyle,49.27,2,4.93,103.47,03/07/2019,13:57,Ewallet,98.54,4.93,4.7
281-90-9095,C,Mandalay,Member,Male,Fashion accessories,28.48,3,4.27,89.71,01/20/2019,20:04,Ewallet,85.44,4.27,5.0
915-45-1920,B,Naypyitaw,Normal,Female,Food and beverages,13.3,6,3.99,83.79,02/26/2019,20:19,Credit card,79.8,3.99,4.4
984-21-9307,B,Naypyitaw,Normal,Male,Food and beverages,7.07,8,2.83,59.39,02/06/2019,11:41,Cash,56.56,2.83,6.2
205-53-2381,B,Naypyitaw,Normal,Male,Sports and travel,32.51,4,6.5,136.54,01/20/2019,10:28,Credit card,130.04,6.5,6.9
481-46-7347,C,Mandalay,Member,Male,Fashion accessories,87.28,8,34.91,733.15,03/20/2019,12:23,Ewallet,698.24,34.91,7.1
972-94-3463,B,Naypyitaw,Normal,Male,Home and lifestyle,18.9,6,5.67,119.07,02/06/2019,14:46,Ewallet,113.4,5.67,8.1
485-92-6381,B,Naypyitaw,Normal,Male,Health and beauty,20.32,7,7.11,149.35,01/11/2019,14:35,Cash,142.24,7.11,8.3
597-34-4711,A,Yangon,Normal,Male,Fashion accessories,9.46,6,2.84,59.6,01/28/2019,15:49,Credit card,56.76,2.84,5.9
444-89-3147,A,Yangon,Normal,Male,Electronic accessories,76.67,9,34.5,724.53,03/09/2019,10:42,Ewallet,690.03,34.5,9.0
473-96-4891,C,Mandalay,Member,Male,Sports and travel,66.63,10,33.31,699.61,02/26/2019,10:26,Ewallet,666.3,33.31,5.0
794-83-8218,B,Naypyitaw,Normal,Female,Food and beverages,18.15,9,8.17,171.52,03/02/2019,13:23,Ewallet,163.35,8.17,9.8
592-57-2680,B,Naypyitaw,Normal,Female,Home and lifestyle,70.49,4,14.1,296.06,02/02/2019,10:41,Ewallet,281.96,14.1,4.8
327-67-6727,C,Mandalay,Normal,Male,Food and beverages,20.0,3,3.0,63.0,01/19/2019,16:05,Ewallet,60.0,3.0,9.4
426-22-6493,A,Yangon,Normal,Male,Sports and travel,26.5,6,7.95,166.95,02/17/2019,13:01,Credit card,159.0,7.95,10.0
181-12-5193,A,Yangon,Normal,Male,Electronic accessories,75.71,3,11.36,238.49,03/20/2019,10:57,Cash,227.13,11.36,6.8
737-68-2029,A,Yangon,Member,Female,Electronic accessories,39.09,4,7.82,164.18,02/23/2019,20:50,Cash,156.36,7.82,4.3
526-33-2402,A,Yangon,Member,Male,Sports and travel,30.39,3,4.56,95.73,02/15/2019,13:36,Credit card,91.17,4.56,4.0
116-55-2106,C,Mandalay,Member,Male,Home and lifestyle,15.18,8,6.07,127.51,02/17/2019,14:47,Cash,121.44,6.07,6.3
897-97-8612,B,Naypyitaw,Normal,Male,Electronic accessories,43.18,1,2.16,45.34,03/24/2019,12:53,Ewallet,43.18,2.16,6.0
417-75-7524,C,Mandalay,Member,Male,Sports and travel,12.59,8,5.04,105.76,01/26/2019,10:20,Ewallet,100.72,5.04,5.2
379-25-7029,C,Mandalay,Member,Female,Sports and travel,30.03,4,6.01,126.13,01/07/2019,20:21,Credit card,120.12,6.01,9.2
184-64-2293,B,Naypyitaw,Normal,Female,Sports and travel,44.73,3,6.71,140.9,03/08/2019,14:51,Cash,134.19,6.71,7.0
834-64-3730,B,Naypyitaw,Normal,Male,Food and beverages,9.4,2,0.94,19.74,02/09/2019,17:38,Cash,18.8,0.94,8.0
787-91-7655,C,Mandalay,Normal,Female,Sports and travel,53.04,6,15.91,334.15,03/23/2019,10:04,Ewallet,318.24,15.91,6.6
897-92-7001,B,Naypyitaw,Member,Male,Food and beverages,42.29,10,21.14,444.04,01/17/2019,11:15,Ewallet,422.9,21.14,6.6
642-56-7521,B,Naypyitaw,Member,Male,Sports and travel,76.42,8,30.57,641.93,01/10/2019,19:08,Credit card,611.36,30.57,6.2
368-43-8311,B,Naypyitaw,Member,Female,Fashion accessories,66.85,1,3.34,70.19,02/19/2019,18:07,Ewallet,66.85,3.34,7.0
929-97-6236,A,Yangon,Normal,Female,Food and beverages,12.47,2,1.25,26.19,01/23/2019,17:05,Ewallet,24.94,1.25,4.4
470-75-4673,C,Mandalay,Normal,Male,Home and lifestyle,63.96,3,9.59,201.47,03/23/2019,12:50,Cash,191.88,9.59,9.6
726-21-2077,A,Yangon,Member,Male,Electronic accessories,43.87,1,2.19,46.06,03/01/2019,18:08,Cash,43.87,2.19,7.4
577-97-9476,B,Naypyitaw,Normal,Female,Sports and travel,15.16,10,7.58,159.18,03/24/2019,11:28,Cash,151.6,7.58,9.8
411-31-3653,B,Naypyitaw,Member,Male,Electronic accessories,87.86,9,39.54,830.28,01/16/2019,18:09,Cash,790.74,39.54,4.3
228-90-5961,B,Naypyitaw,Normal,Male,Fashion accessories,75.67,5,18.92,397.27,03/23/2019,18:17,Credit card,378.35,18.92,5.5
677-15-1464,C,Mandalay,Member,Male,Food and beverages,13.48,10,6.74,141.54,03/19/2019,15:53,Credit card,134.8,6.74,8.0
757-48-8912,A,Yangon,Member,Female,Health and beauty,59.45,7,20.81,436.96,03/22/2019,18:18,Credit card,416.15,20.81,4.2
308-53-3353,A,Yangon,Normal,Female,Fashion accessories,63.09,2,6.31,132.49,02/23/2019,17:29,Cash,126.18,6.31,4.9
577-25-5382,B,Naypyitaw,Normal,Female,Fashion accessories,68.85,3,10.33,216.88,01/14/2019,15:15,Cash,206.55,10.33,7.1
263-51-6123,B,Naypyitaw,Member,Male,Electronic accessories,90.63,5,22.66,475.81,02/23/2019,13:55,Ewallet,453.15,22.66,9.2
346-37-6781,A,Yangon,Normal,Female,Electronic accessories,54.79,5,13.7,287.65,02/20/2019,18:29,Cash,273.95,13.7,4.5
370-56-7606,A,Yangon,Normal,Female,Health and beauty,32.86,8,13.14,276.02,01/14/2019,16:08,Credit card,262.88,13.14,4.0
561-80-5582,B,Naypyitaw,Member,Female,Health and beauty,25.57,9,11.51,241.64,01/10/2019,16:32,Credit card,230.13,11.51,7.3
247-35-9341,C,Mandalay,Member,Male,Fashion accessories,37.86,7,13.25,278.27,03/13/2019,15:48,Ewallet,265.02,13.25,9.9
720-75-3290,B,Naypyitaw,Member,Male,Food and beverages,44.25,3,6.64,139.39,03/08/2019,17:09,Ewallet,132.75,6.64,8.8
621-78-9025,B,Naypyitaw,Member,Female,Food and beverages,45.66,10,22.83,479.43,02/13/2019,18:53,Cash,456.6,22.83,5.8
915-98-1436,C,Mandalay,Normal,Female,Food and beverages,23.22,6,6.97,146.29,02/23/2019,19:19,Ewallet,139.32,6.97,4.7
961-58-3421,C,Mandalay,Member,Female,Sports and travel,50.85,1,2.54,53.39,03/22/2019,19:49,Credit card,50.85,2.54,5.0
613-88-8726,C,Mandalay,Member,Male,Electronic accessories,50.28,1,2.51,52.79,02/22/2019,13:26,Ewallet,50.28,2.51,6.5
421-32-8531,C,Mandalay,Member,Male,Fashion accessories,52.87,4,10.57,222.05,03/03/2019,18:24,Credit card,211.48,10.57,10.0
404-46-4396,C,Mandalay,Normal,Female,Home and lifestyle,26.04,8,10.42,218.74,03/13/2019,14:14,Credit card,208.32,10.42,5.5
687-96-9899,C,Mandalay,Normal,Female,Fashion accessories,52.84,6,15.85,332.89,02/05/2019,14:07,Cash,317.04,15.85,9.6
362-71-4505,B,Naypyitaw,Member,Female,Sports and travel,30.13,1,1.51,31.64,02/14/2019,17:41,Cash,30.13,1.51,8.3
643-38-4814,A,Yangon,Normal,Female,Food and beverages,38.86,2,3.89,81.61,02/01/2019,10:42,Ewallet,77.72,3.89,7.5
261-62-8793,A,Yangon,Normal,Female,Health and beauty,18.04,8,7.22,151.54,01/01/2019,18:59,Credit card,144.32,7.22,8.6
337-78-1611,B,Naypyitaw,Normal,Male,Fashion accessories,59.67,5,14.92,313.27,01/12/2019,20:36,Cash,298.35,14.92,9.4
405-82-2758,A,Yangon,Member,Male,Sports and travel,23.04,8,9.22,193.54,02/07/2019,10:00,Cash,184.32,9.22,8.5
848-68-5215,B,Naypyitaw,Normal,Female,Home and lifestyle,46.17,9,20.78,436.31,01/15/2019,15:10,Ewallet,415.53,20.78,5.2
515-64-9442,C,Mandalay,Normal,Male,Electronic accessories,68.95,10,34.48,723.98,03/20/2019,20:57,Cash,689.5,34.48,5.2
341-67-5374,B,Naypyitaw,Member,Female,Health and beauty,48.2,3,7.23,151.83,01/01/2019,14:24,Ewallet,144.6,7.23,9.6
263-61-9233,B,Naypyitaw,Normal,Male,Home and lifestyle,62.57,6,18.77,394.19,01/16/2019,17:19,Credit card,375.42,18.77,4.4
865-87-7121,C,Mandalay,Normal,Male,Home and lifestyle,28.12,10,14.06,295.26,03/03/2019,12:29,Cash,281.2,14.06,9.7
470-19-2838,B,Naypyitaw,Member,Female,Fashion accessories,77.85,10,38.93,817.43,02/27/2019,18:45,Ewallet,778.5,38.93,4.5
697-72-2489,A,Yangon,Member,Male,Food and beverages,52.0,6,15.6,327.6,03/29/2019,13:45,Ewallet,312.0,15.6,6.7
926-49-1356,C,Mandalay,Normal,Male,Sports and travel,39.08,9,17.59,369.31,03/13/2019,17:43,Ewallet,351.72,17.59,7.4
170-70-1519,B,Naypyitaw,Member,Male,Home and lifestyle,15.31,2,1.53,32.15,01/09/2019,18:03,Credit card,30.62,1.53,6.1
182-97-9835,B,Naypyitaw,Member,Male,Sports and travel,36.21,7,12.67,266.14,02/27/2019,16:24,Credit card,253.47,12.67,9.3
123-48-8585,A,Yangon,Member,Female,Fashion accessories,39.44,9,17.75,372.71,01/29/2019,10:48,Ewallet,354.96,17.75,4.8
928-94-7868,C,Mandalay,Normal,Female,Fashion accessories,44.85,4,8.97,188.37,01/25/2019,11:02,Ewallet,179.4,8.97,4.9
858-15-7590,C,Mandalay,Member,Male,Health and beauty,57.52,2,5.75,120.79,03/28/2019,10:15,Ewallet,115.04,5.75,6.7
712-96-6253,B,Naypyitaw,Member,Male,Electronic accessories,94.48,9,42.52,892.84,03/15/2019,15:36,Ewallet,850.32,42.52,5.4
795-64-9120,A,Yangon,Member,Male,Home and lifestyle,32.09,5,8.02,168.47,03/17/2019,12:40,Cash,160.45,8.02,7.3
346-38-5927,A,Yangon,Normal,Female,Home and lifestyle,41.8,7,14.63,307.23,01/24/2019,18:30,Credit card,292.6,14.63,5.8
361-36-6411,C,Mandalay,Member,Female,Electronic accessories,92.42,7,32.35,679.29,01/18/2019,16:15,Credit card,646.94,32.35,7.3
719-87-1647,C,Mandalay,Normal,Female,Health and beauty,67.97,9,30.59,642.32,02/04/2019,16:43,Ewallet,611.73,30.59,5.1
220-71-4974,A,Yangon,Normal,Male,Electronic accessories,39.26,6,11.78,247.34,01/28/2019,13:47,Ewallet,235.56,11.78,9.5
467-49-5285,C,Mandalay,Normal,Male,Food and beverages,22.69,9,10.21,214.42,03/01/2019,18:41,Ewallet,204.21,10.21,5.7
523-15-4625,B,Naypyitaw,Normal,Female,Food and beverages,46.89,8,18.76,393.88,01/27/2019,15:20,Ewallet,375.12,18.76,5.9
335-58-5026,C,Mandalay,Normal,Male,Electronic accessories,61.33,10,30.66,643.96,01/20/2019,13:21,Credit card,613.3,30.66,6.5
837-79-9000,B,Naypyitaw,Normal,Female,Food and beverages,30.35,8,12.14,254.94,02/15/2019,12:08,Cash,242.8,12.14,8.4
824-29-1149,A,Yangon,Member,Male,Food and beverages,47.04,1,2.35,49.39,03/22/2019,13:04,Ewallet,47.04,2.35,6.5
116-10-9719,A,Yangon,Normal,Female,Food and beverages,40.08,10,20.04,420.84,03/03/2019,20:31,Ewallet,400.8,20.04,9.6
